case,case_id,found_by_crawl,scraped_rows,docs_with_link,docs_on_gcs,confirmations_with_link,confirmations_on_gcs,not_on_gcs_examples
case_20597,LT-327126-23/BX,5,5,5,5,0,0,
case_20695,EFCA2017-002388,925,925,925,925,900,900,
case_21129,EF001287-2020,5,5,4,4,4,4,
case_21146,EF004896-2023,13,13,13,13,12,12,
case_21151,EF006622-2017,144,144,144,144,142,142,
case_21592,109840/2010,0,9,9,9,9,9,
case_21909,CV-750088-21/KI,3,3,3,3,2,2,
case_21910,CV-750124-21/KI,3,3,3,3,2,2,
case_21915,LT-001001-24/KI,3,3,3,3,1,1,
case_21916,LT-301134-25/KI,7,7,7,7,0,0,
case_21917,LT-301136-25/KI,6,6,6,6,0,0,
case_21918,LT-301138-25/KI,31,31,31,31,0,0,
case_21919,LT-301139-25/KI,26,26,26,26,0,0,
case_21920,LT-301203-23/KI,8,8,8,8,0,0,
case_21921,LT-301204-23/KI,3,3,3,3,0,0,
case_21922,LT-301205-23/KI,3,3,3,3,0,0,
case_21923,LT-301206-23/KI,5,5,5,5,0,0,
case_21924,LT-301207-23/KI,3,3,3,3,0,0,
case_21925,LT-301208-23/KI,8,8,8,8,0,0,
case_21926,LT-302547-26/KI,5,5,5,5,0,0,
case_21927,LT-302549-26/KI,7,7,7,7,0,0,
case_21928,LT-302767-24/KI,5,5,5,5,0,0,
case_21929,LT-302770-24/KI,5,5,5,5,0,0,
case_21930,LT-302771-24/KI,3,3,3,3,0,0,
case_21931,LT-302773-24/KI,5,5,5,5,0,0,
case_21932,LT-302778-24/KI,3,3,3,3,0,0,
case_21933,LT-303268-26/KI,5,5,5,5,0,0,
case_21934,LT-304993-26/KI,6,6,6,6,0,0,
case_21935,LT-305364-24/KI,3,3,3,3,0,0,
case_21936,LT-305440-24/KI,5,5,5,5,0,0,
case_21937,LT-305442-24/KI,15,15,15,15,0,0,
case_21938,LT-306506-26/KI,3,3,3,3,0,0,
case_21939,LT-306599-23/KI,6,6,6,6,0,0,
case_21940,LT-306616-23/KI,3,3,3,3,0,0,
case_21941,LT-306618-23/KI,2,2,2,2,0,0,
case_21942,LT-306691-25/KI,5,5,5,5,0,0,
case_21943,LT-306751-23/KI,6,6,6,6,0,0,
case_21944,LT-307312-23/KI,5,5,5,5,0,0,
case_21945,LT-307317-23/KI,27,27,27,27,0,0,
case_21946,LT-309043-24/KI,7,7,7,7,0,0,
case_21947,LT-309044-24/KI,6,6,6,6,0,0,
case_21948,LT-309166-24/KI,5,5,5,5,0,0,
case_21949,LT-310392-23/KI,3,3,3,3,0,0,
case_21950,LT-311030-22/KI,16,16,16,16,0,0,
case_21951,LT-311531-26/KI,4,4,4,4,0,0,
case_21952,LT-311743-24/KI,6,6,6,6,0,0,
case_21953,LT-311778-25/KI,5,5,5,5,0,0,
case_21954,LT-312171-25/KI,3,3,3,3,0,0,
case_21955,LT-314366-26/KI,4,4,4,4,0,0,
case_21956,LT-314367-26/KI,4,4,4,4,0,0,
case_21957,LT-315454-25/KI,14,14,14,14,0,0,
case_21958,LT-315455-25/KI,12,12,12,12,11,11,
case_21961,LT-315458-25/KI,3,3,3,3,2,2,
case_21962,LT-316103-25/KI,23,23,23,23,4,4,
case_21963,LT-317827-25/KI,15,15,15,15,7,7,
case_21964,LT-318281-23/KI,16,16,16,16,3,3,
case_21965,LT-318282-23/KI,6,6,6,6,0,0,
case_21966,LT-318439-26/KI,4,4,4,4,0,0,
case_21967,LT-318444-26/KI,3,3,3,3,0,0,
case_21968,LT-318445-26/KI,4,4,4,4,0,0,
case_21969,LT-318592-26/KI,4,4,4,4,0,0,
case_21970,LT-319969-24/KI,58,58,58,58,0,0,
case_21971,LT-319972-24/KI,3,3,3,3,0,0,
case_21972,LT-319973-24/KI,5,5,5,5,0,0,
case_21973,LT-319979-24/KI,15,15,15,15,0,0,
case_21974,LT-320286-26/KI,4,4,4,4,0,0,
case_21975,LT-320287-26/KI,4,4,4,4,0,0,
case_21976,LT-320398-26/KI,5,5,5,5,0,0,
case_21977,LT-320401-26/KI,4,4,4,4,0,0,
case_21978,LT-320410-26/KI,4,4,4,4,0,0,
case_21979,LT-320442-26/KI,4,4,4,4,0,0,
case_21980,LT-320443-26/KI,4,4,4,4,0,0,
case_21981,LT-320647-25/KI,14,14,14,14,0,0,
case_21982,LT-321148-25/KI,3,3,3,3,0,0,
case_21983,LT-321288-24/KI,7,7,7,7,0,0,
case_21984,LT-321445-26/KI,10,10,10,10,0,0,
case_21985,LT-321839-23/KI,29,29,29,29,0,0,
case_21986,LT-321841-23/KI,15,15,15,15,0,0,
case_21987,LT-321844-23/KI,7,7,7,7,0,0,
case_21988,LT-322314-24/KI,5,5,5,5,0,0,
case_21989,LT-322316-24/KI,5,5,5,5,0,0,
case_21990,LT-323231-25/KI,3,3,3,3,0,0,
case_21991,LT-323232-25/KI,8,8,8,8,0,0,
case_21992,LT-323233-25/KI,26,26,26,26,0,0,
case_21993,LT-323234-25/KI,10,10,10,10,0,0,
case_21994,LT-323569-25/KI,5,5,5,5,0,0,
case_21995,LT-324050-25/KI,10,10,10,10,0,0,
case_21996,LT-324225-23/KI,6,6,6,6,0,0,
case_21997,LT-324236-23/KI,10,10,10,10,0,0,
case_21998,LT-324237-23/KI,11,11,11,11,0,0,
case_21999,LT-325162-23/KI,6,6,6,6,0,0,
case_22000,LT-325440-24/KI,5,5,5,5,0,0,
case_22001,LT-325441-24/KI,5,5,5,5,0,0,
case_22002,LT-325515-24/KI,5,5,5,5,0,0,
case_22003,LT-326497-25/KI,5,5,5,5,0,0,
case_22004,LT-327933-23/KI,3,3,3,3,0,0,
case_22005,LT-327934-23/KI,43,43,43,43,0,0,
case_22006,LT-327977-23/KI,9,9,9,9,0,0,
case_22007,LT-329115-22/KI,7,7,7,7,0,0,
case_22008,LT-330561-24/KI,19,19,19,19,0,0,
case_22009,LT-330573-24/KI,13,13,13,13,10,10,
case_22011,LT-330584-24/KI,23,23,23,23,18,18,
case_22012,LT-330591-24/KI,21,21,21,21,0,0,
case_22013,LT-330604-24/KI,22,22,22,22,20,20,
case_22016,LT-330727-23/KI,5,5,5,5,4,4,
case_22018,LT-331065-25/KI,7,7,7,7,1,1,
case_22019,LT-331066-25/KI,5,5,5,5,1,1,
case_22020,LT-331564-25/KI,5,5,5,5,0,0,
case_22021,LT-331565-25/KI,5,5,5,5,0,0,
case_22022,LT-331575-25/KI,16,16,16,16,0,0,
case_22023,LT-331576-25/KI,9,9,9,9,0,0,
case_22024,LT-331577-25/KI,6,6,6,6,0,0,
case_22025,LT-333583-24/KI,6,6,6,6,0,0,
case_22026,LT-333590-24/KI,5,5,5,5,0,0,
case_22027,LT-334037-25/KI,7,7,7,7,0,0,
case_22028,LT-334075-25/KI,7,7,7,7,0,0,
case_22029,LT-334084-25/KI,7,7,7,7,2,2,
case_22211,503026/2018,50,50,50,50,49,49,
case_22214,600335/2010,13,13,12,12,9,9,
case_22216,604196/2023,6,6,6,6,5,5,
case_22220,617024/2022,32,32,32,32,31,31,
case_22227,765000/2006,126,126,124,124,123,123,
case_22291,538082/2022,102,102,102,102,101,101,
case_22298,620434/2023,60,60,59,59,59,59,
case_22307,725686/2024,65,65,65,65,63,63,
case_22308,800457/2023E,45,45,44,44,43,43,
case_22319,Not Assigned,3,3,3,3,0,0,
case_22320,Not Assigned,2,2,2,2,1,1,
case_22330,524993/2022,127,127,125,125,125,125,
case_22338,LT-300744-25/QU,1,1,1,1,0,0,
case_22339,LT-309045-25/QU,5,5,5,5,0,0,
case_22340,LT-313903-25/KI,3,3,3,3,0,0,
case_22386,159402/2024,72,72,72,72,67,67,
case_22387,159954/2024,77,77,77,77,76,76,
case_22389,518790/2025,34,34,33,33,32,32,
case_22391,600080/2024,68,68,68,68,67,67,
case_22392,605155/2024,111,111,108,108,108,108,
case_22417,CV-702817-26/RI,5,5,5,5,4,4,
case_22418,CV-705459-26/KI,4,4,4,4,2,2,
case_22419,CV-705460-26/KI,24,24,24,24,12,12,
case_22420,CV-708241-26/KI,10,10,10,10,8,8,
case_22421,CV-708431-26/KI,4,4,4,4,1,1,
case_22422,CV-708434-26/KI,8,8,8,8,7,7,
case_22423,CV-708440-26/KI,7,7,7,7,4,4,
case_22424,CV-708442-26/KI,8,8,8,8,3,3,
case_22425,CV-708459-26/KI,7,7,7,7,0,0,
case_22426,CV-709912-24/KI,6,6,6,6,0,0,
case_22427,CV-710013-24/KI,7,7,7,7,0,0,
case_22428,CV-710014-24/KI,5,5,5,5,0,0,
case_22429,CV-710016-24/KI,8,8,8,8,5,5,
case_22430,CV-710017-24/KI,6,6,6,6,3,3,
case_22431,CV-710018-24/KI,6,6,6,6,1,1,
case_22435,CV-710022-24/KI,4,4,4,4,2,2,
case_22438,CV-710026-24/KI,7,7,7,7,4,4,
case_22439,CV-710027-24/KI,28,28,28,28,13,13,
case_22440,CV-710028-24/KI,9,9,9,9,2,2,
case_22441,CV-710029-24/KI,7,7,7,7,0,0,
case_22442,CV-710030-24/KI,8,8,8,8,0,0,
case_22443,CV-710031-24/KI,6,6,6,6,0,0,
case_22444,CV-710032-24/KI,6,6,6,6,0,0,
case_22445,CV-710036-24/KI,6,6,6,6,0,0,
case_22446,CV-710447-25/KI,29,29,29,29,0,0,
case_22447,CV-712887-26/RI,3,3,3,3,0,0,
case_22448,CV-713085-26/RI,6,6,6,6,0,0,
case_22449,CV-713913-24/KI,6,6,6,6,0,0,
case_22450,CV-713917-24/KI,2,2,2,2,0,0,
case_22451,CV-714329-24/KI,5,5,5,5,0,0,
case_22452,CV-714330-24/KI,8,8,8,8,0,0,
case_22453,CV-714331-24/KI,6,6,6,6,0,0,
case_22454,CV-714531-26/KI,4,4,4,4,0,0,
case_22455,CV-714646-26/KI,5,5,5,5,0,0,
case_22456,CV-714694-26/KI,4,4,4,4,0,0,
case_22457,CV-715771-25/KI,9,9,9,9,0,0,
case_22458,CV-716325-26/KI,8,8,8,8,0,0,
case_22459,CV-716328-26/KI,4,4,4,4,0,0,
case_22460,CV-716339-26/KI,4,4,4,4,0,0,
case_22462,CV-716416-26/KI,7,7,7,7,0,0,
case_22463,CV-716641-25/KI,7,7,7,7,0,0,
case_22464,CV-716642-25/KI,7,7,7,7,0,0,
case_22465,CV-716645-25/KI,8,8,8,8,0,0,
case_22466,CV-716646-25/KI,9,9,9,9,0,0,
case_22467,CV-716647-25/KI,9,9,9,9,0,0,
case_22468,CV-716648-25/KI,9,9,9,9,0,0,
case_22469,CV-716662-25/KI,20,20,20,20,0,0,
case_22470,CV-716663-25/KI,6,6,6,6,0,0,
case_22471,CV-716698-25/KI,10,10,10,10,0,0,
case_22472,CV-717712-26/RI,5,5,5,5,0,0,
case_22473,CV-717804-26/RI,8,8,8,8,0,0,
case_22474,CV-719082-26/KI,7,7,7,7,0,0,
case_22475,CV-719083-26/KI,4,4,4,4,0,0,
case_22476,CV-719108-26/KI,6,6,6,6,0,0,
case_22477,CV-719259-26/KI,4,4,4,4,0,0,
case_22478,CV-719263-26/KI,4,4,4,4,0,0,
case_22479,CV-720381-25/KI,7,7,7,7,0,0,
case_22480,CV-720382-25/KI,7,7,7,7,0,0,
case_22481,CV-720392-25/KI,22,22,22,22,0,0,
case_22482,CV-720403-25/KI,27,27,27,27,0,0,
case_22483,CV-720406-25/KI,7,7,7,7,0,0,
case_22484,CV-720407-25/KI,8,8,8,8,0,0,
case_22485,CV-720641-25/KI,9,9,9,9,0,0,
case_22486,CV-720642-25/KI,9,9,9,9,0,0,
case_22487,CV-720644-25/KI,7,7,7,7,0,0,
case_22488,CV-720646-25/KI,9,9,9,9,0,0,
case_22489,CV-720651-25/KI,7,7,7,7,0,0,
case_22490,CV-720661-25/KI,7,7,7,7,0,0,
case_22491,CV-720663-25/KI,7,7,7,7,0,0,
case_22492,CV-720695-25/KI,9,9,9,9,0,0,
case_22493,CV-720707-25/KI,8,8,8,8,0,0,
case_22494,CV-720718-25/KI,20,20,20,20,0,0,
case_22495,CV-720735-25/KI,5,5,5,5,0,0,
case_22496,CV-720761-25/KI,5,5,5,5,0,0,
case_22497,CV-720778-25/KI,3,3,3,3,0,0,
case_22498,CV-720779-25/KI,4,4,4,4,0,0,
case_22499,CV-720781-25/KI,5,5,5,5,0,0,
case_22500,CV-720782-25/KI,6,6,6,6,0,0,
case_22501,CV-720811-25/KI,5,5,5,5,0,0,
case_22502,CV-720817-25/KI,5,5,5,5,0,0,
case_22503,CV-724348-26/RI,6,6,6,6,0,0,
case_22504,CV-724945-24/KI,7,7,7,7,0,0,
case_22505,CV-724979-24/KI,10,10,10,10,0,0,
case_22506,CV-725199-26/KI,6,6,6,6,0,0,
case_22507,CV-725729-24/KI,7,7,7,7,0,0,
case_22508,CV-725763-24/KI,43,43,43,43,0,0,
case_22509,CV-725794-24/KI,14,14,14,14,0,0,
case_22510,CV-725807-24/KI,8,8,8,8,0,0,
case_22511,CV-725808-24/KI,14,14,14,14,0,0,
case_22512,CV-725809-24/KI,7,7,7,7,0,0,
case_22513,CV-725810-24/KI,26,26,26,26,0,0,
case_22514,CV-726294-24/KI,34,34,34,34,0,0,
case_22515,CV-726343-24/KI,9,9,9,9,0,0,
case_22516,CV-726344-24/KI,16,16,16,16,0,0,
case_22517,CV-726370-24/KI,8,8,8,8,0,0,
case_22518,CV-726371-24/KI,15,15,15,15,0,0,
case_22519,CV-726372-24/KI,6,6,6,6,1,1,
case_22520,CV-726447-24/KI,9,9,9,9,8,8,
case_22521,CV-726448-24/KI,11,11,11,11,6,6,
case_22526,CV-730303-24/KI,7,7,7,7,1,1,
case_22527,CV-730521-24/KI,10,10,10,10,0,0,
case_22528,CV-730810-24/KI,8,8,8,8,0,0,
case_22529,CV-731047-24/KI,8,8,8,8,6,6,
case_22530,CV-731064-24/KI,9,9,9,9,7,7,
case_22532,CV-731092-24/KI,21,21,21,21,13,13,
case_22533,CV-731217-24/KI,21,21,21,21,10,10,
case_22534,CV-731445-24/KI,7,7,7,7,0,0,
case_22535,CV-731449-24/KI,7,7,7,7,0,0,
case_22536,CV-731464-24/KI,5,5,5,5,0,0,
case_22537,CV-731472-24/KI,5,5,5,5,0,0,
case_22538,CV-731521-24/KI,9,9,9,9,0,0,
case_22539,CV-731543-24/KI,26,26,26,26,4,4,
case_22540,CV-731564-25/KI,13,13,13,13,2,2,
case_22541,CV-733812-24/KI,33,33,33,33,14,14,
case_22542,CV-733813-24/KI,31,31,31,31,28,28,
case_22543,CV-733814-24/KI,34,34,34,34,12,12,
case_22544,CV-733815-24/KI,34,34,34,34,12,12,
case_22545,CV-733816-24/KI,31,31,31,31,12,12,
case_22546,CV-734000-24/KI,29,29,29,29,3,3,
case_22547,CV-734002-24/KI,6,6,6,6,0,0,
case_22548,CV-734005-24/KI,34,34,34,34,0,0,
case_22549,CV-734007-24/KI,33,33,33,33,0,0,
case_22550,CV-734009-24/KI,34,34,34,34,0,0,
case_22551,CV-734010-24/KI,17,17,17,17,0,0,
case_22552,CV-734080-24/KI,7,7,7,7,0,0,
case_22553,CV-734081-24/KI,7,7,7,7,0,0,
case_22554,CV-734084-24/KI,9,9,9,9,0,0,
case_22555,CV-734148-24/KI,15,15,15,15,0,0,
case_22556,CV-735082-24/KI,9,9,9,9,0,0,
case_22557,CV-735168-25/KI,15,15,15,15,0,0,
case_22558,CV-736728-24/RI,11,11,11,11,0,0,
case_22559,CV-737935-24/KI,6,6,6,6,0,0,
case_22560,CV-739898-25/KI,6,6,6,6,0,0,
case_22561,CV-739899-25/KI,7,7,7,7,0,0,
case_22562,CV-740851-24/KI,8,8,8,8,0,0,
case_22563,CV-740922-24/KI,7,7,7,7,0,0,
case_22564,CV-741094-24/KI,23,23,23,23,0,0,
case_22565,CV-741097-24/KI,25,25,25,25,0,0,
case_22566,CV-741106-24/KI,5,5,5,5,0,0,
case_22567,CV-742690-24/KI,9,9,9,9,0,0,
case_22568,CV-742715-24/KI,8,8,8,8,0,0,
case_22569,CV-743275-24/KI,9,9,9,9,0,0,
case_22570,CV-743302-24/KI,9,9,9,9,0,0,
case_22571,CV-744476-25/KI,5,5,5,5,0,0,
case_22572,CV-744860-24/KI,30,30,30,30,0,0,
case_22573,CV-744864-24/KI,32,32,32,32,0,0,
case_22574,CV-744867-24/KI,32,32,32,32,4,4,
case_22575,CV-744916-24/KI,10,10,10,10,5,5,
case_22577,CV-744980-25/KI,38,38,38,38,7,7,
case_22578,CV-745183-24/KI,5,5,5,5,2,2,
case_22579,CV-745280-24/KI,11,11,11,11,3,3,
case_22580,CV-745285-24/KI,56,56,56,56,6,6,
case_22581,CV-748329-24/RI,12,12,12,12,1,1,
case_22582,CV-748524-25/KI,7,7,7,7,1,1,
case_22583,CV-748825-24/KI,7,7,7,7,0,0,
case_22584,CV-748829-24/KI,6,6,6,6,0,0,
case_22585,CV-748830-24/KI,7,7,7,7,0,0,
case_22586,CV-748831-24/KI,9,9,9,9,0,0,
case_22587,CV-748832-24/KI,20,20,20,20,0,0,
case_22588,CV-748833-24/KI,8,8,8,8,0,0,
case_22589,CV-748834-24/KI,9,9,9,9,0,0,
case_22590,CV-748835-24/KI,6,6,6,6,0,0,
case_22591,CV-748836-24/KI,4,4,4,4,0,0,
case_22592,CV-748884-24/KI,3,3,3,3,0,0,
case_22593,CV-748885-24/KI,7,7,7,7,0,0,
case_22594,CV-748886-24/KI,6,6,6,6,0,0,
case_22595,CV-748919-24/KI,31,31,31,31,0,0,
case_22596,CV-748929-25/KI,22,22,22,22,0,0,
case_22597,CV-748948-25/KI,6,6,6,6,0,0,
case_22598,CV-748951-24/KI,9,9,9,9,0,0,
case_22599,CV-748952-24/KI,27,27,27,27,0,0,
case_22600,CV-748953-24/KI,22,22,22,22,0,0,
case_22601,CV-748954-24/KI,20,20,20,20,0,0,
case_22602,CV-748956-24/KI,9,9,9,9,0,0,
case_22603,CV-748979-24/KI,41,41,41,41,0,0,
case_22604,CV-748980-24/KI,18,18,18,18,0,0,
case_22605,CV-748981-24/KI,2,2,2,2,0,0,
case_22606,CV-748982-24/KI,6,6,6,6,0,0,
case_22607,CV-748983-24/KI,22,22,22,22,0,0,
case_22608,CV-748991-25/KI,6,6,6,6,0,0,
case_22609,CV-749018-25/KI,21,21,21,21,8,8,
case_22611,CV-749279-24/KI,9,9,9,9,4,4,
case_22612,CV-750126-25/KI,4,4,4,4,3,3,
case_22613,CV-750292-25/KI,22,22,22,22,15,15,
case_22614,CV-750293-25/KI,15,15,15,15,1,1,
case_22615,CV-750294-25/KI,6,6,6,6,0,0,
case_22616,CV-750295-25/KI,10,10,10,10,0,0,
case_22617,CV-750301-25/KI,10,10,10,10,0,0,
case_22618,CV-750302-25/KI,6,6,6,6,0,0,
case_22619,CV-750446-24/RI,7,7,7,7,0,0,
case_22620,CV-750447-24/RI,9,9,9,9,0,0,
case_22621,CV-750448-24/RI,7,7,7,7,0,0,
case_22622,CV-750541-25/KI,7,7,7,7,1,1,
case_22623,CV-750543-25/KI,4,4,4,4,0,0,
case_22624,CV-750594-24/RI,7,7,7,7,1,1,
case_22625,CV-750598-25/KI,7,7,7,7,3,3,
case_22626,CV-750599-25/KI,5,5,5,5,4,4,
case_22627,CV-750600-25/KI,7,7,7,7,4,4,
case_22628,CV-750601-25/KI,5,5,5,5,4,4,
case_22629,CV-750603-25/KI,5,5,5,5,3,3,
case_22630,CV-751020-25/KI,2,2,2,2,1,1,
case_22631,CV-754824-24/KI,2,2,2,2,0,0,
case_22632,CV-754991-24/KI,8,8,8,8,4,4,
case_22633,CV-754993-24/KI,8,8,8,8,5,5,
case_22634,CV-754994-24/KI,6,6,6,6,5,5,
case_22635,CV-754995-24/KI,8,8,8,8,6,6,
case_22636,CV-754996-24/KI,4,4,4,4,2,2,
case_22637,CV-755022-24/KI,4,4,4,4,0,0,
case_22638,CV-755023-24/KI,5,5,5,5,3,3,
case_22639,CV-755026-24/KI,5,5,5,5,0,0,
case_22640,CV-755062-24/KI,2,2,2,2,1,1,
case_22641,CV-755063-24/KI,3,3,3,3,1,1,
case_22642,CV-755086-24/KI,8,8,8,8,2,2,
case_22643,CV-755097-24/KI,8,8,8,8,2,2,
case_22644,CV-755701-23/RI,6,6,6,6,0,0,
case_22645,CV-755702-23/RI,9,9,9,9,2,2,
case_22646,CV-755703-23/RI,7,7,7,7,0,0,
case_22647,CV-755704-23/RI,7,7,7,7,4,4,
case_22648,CV-755705-23/RI,7,7,7,7,2,2,
case_22649,CV-758573-24/KI,6,6,6,6,2,2,
case_22650,CV-758677-24/KI,5,5,5,5,0,0,
case_22651,CV-758679-24/KI,6,6,6,6,1,1,
case_22652,CV-758681-25/KI,8,8,8,8,1,1,
case_22653,CV-758682-24/KI,8,8,8,8,4,4,
case_22654,CV-758687-25/KI,36,36,36,36,4,4,
case_22655,CV-758863-24/RI,9,9,9,9,0,0,
case_22656,CV-758864-24/RI,7,7,7,7,0,0,
case_22657,CV-758865-24/RI,12,12,12,12,0,0,
case_22658,CV-758868-24/RI,9,9,9,9,0,0,
case_22659,CV-759022-25/KI,8,8,8,8,0,0,
case_22660,CV-759062-25/KI,8,8,8,8,0,0,
case_22661,CV-759064-25/KI,7,7,7,7,0,0,
case_22662,CV-759066-25/KI,7,7,7,7,0,0,
case_22663,CV-759070-25/KI,9,9,9,9,0,0,
case_22664,CV-759072-25/KI,7,7,7,7,0,0,
case_22665,CV-759074-25/KI,6,6,6,6,0,0,
case_22666,CV-759078-25/KI,6,6,6,6,0,0,
case_22667,CV-759082-25/KI,6,6,6,6,0,0,
case_22673,CV-759308-24/RI,9,9,9,9,8,8,
case_22674,CV-759338-25/KI,6,6,6,6,4,4,
case_22675,CV-759451-25/KI,5,5,5,5,2,2,
case_22676,CV-759457-25/KI,6,6,6,6,3,3,
case_22681,CV-759503-25/KI,7,7,7,7,6,6,
case_22684,CV-759512-25/KI,21,21,21,21,0,0,
case_22685,CV-759515-25/KI,5,5,5,5,0,0,
case_22686,CV-759525-25/KI,3,3,3,3,0,0,
case_22687,CV-759531-25/KI,2,2,2,2,0,0,
case_22688,CV-759536-25/KI,3,3,3,3,0,0,
case_22689,CV-759758-25/KI,9,9,9,9,0,0,
case_22690,CV-760679-25/RI,9,9,9,9,0,0,
case_22691,CV-763402-25/KI,28,28,28,28,0,0,
case_22692,CV-763403-25/KI,29,29,29,29,0,0,
case_22693,CV-763405-25/KI,27,27,27,27,0,0,
case_22694,CV-763732-24/RI,11,11,11,11,0,0,
case_22695,CV-764004-25/KI,5,5,5,5,0,0,
case_22696,CV-764018-25/KI,3,3,3,3,0,0,
case_22697,CV-764289-24/RI,9,9,9,9,0,0,
case_22698,CV-765407-24/KI,9,9,9,9,0,0,
case_22699,CV-765419-24/KI,10,10,10,10,0,0,
case_22700,CV-765420-24/KI,6,6,6,6,0,0,
case_22701,CV-768096-24/KI,3,3,3,3,0,0,
case_22702,CV-768097-24/KI,15,15,15,15,0,0,
case_22703,CV-768859-24/KI,7,7,7,7,0,0,
case_22704,CV-768862-24/KI,23,23,23,23,0,0,
case_22705,CV-768865-24/KI,5,5,5,5,0,0,
case_22706,CV-768866-24/KI,13,13,13,13,0,0,
case_22708,CV-768872-24/KI,7,7,7,7,0,0,
case_22709,CV-768875-24/KI,5,5,5,5,0,0,
case_22710,CV-768877-24/KI,11,11,11,11,0,0,
case_22711,CV-768882-24/KI,3,3,3,3,0,0,
case_22712,CV-768884-24/KI,10,10,10,10,0,0,
case_22713,CV-768887-24/KI,9,9,9,9,0,0,
case_22714,CV-768888-24/KI,8,8,8,8,0,0,
case_22715,CV-768920-24/KI,7,7,7,7,0,0,
case_22716,CV-768921-24/KI,9,9,9,9,0,0,
case_22717,CV-768949-24/KI,7,7,7,7,0,0,
case_22718,CV-768959-24/KI,8,8,8,8,0,0,
case_22719,CV-768984-24/KI,5,5,5,5,0,0,
case_22720,CV-768985-24/KI,5,5,5,5,0,0,
case_22721,CV-768986-24/KI,6,6,6,6,0,0,
case_22722,CV-768988-24/KI,14,14,14,14,0,0,
case_22723,CV-768991-24/KI,75,75,75,75,0,0,
case_22724,CV-769040-24/KI,7,7,7,7,0,0,
case_22725,CV-770310-24/KI,6,6,6,6,0,0,
case_22726,CV-770351-24/KI,19,19,19,19,0,0,
case_22727,CV-773592-24/KI,7,7,7,7,1,1,
case_22728,CV-773593-25/KI,9,9,9,9,1,1,
case_22729,CV-773763-24/KI,7,7,7,7,5,5,
case_22730,CV-774342-24/KI,3,3,3,3,2,2,
case_22731,CV-775469-25/KI,5,5,5,5,2,2,
case_22732,CV-775471-25/KI,5,5,5,5,1,1,
case_22734,CV-776360-25/KI,40,40,40,40,4,4,
case_22735,CV-776381-25/KI,6,6,6,6,0,0,
case_22736,CV-776711-25/KI,5,5,5,5,0,0,
case_22737,CV-797025-25/RI,8,8,8,8,0,0,
case_22738,CV-797026-25/RI,8,8,8,8,0,0,
case_22739,CV-797027-25/RI,3,3,3,3,0,0,
case_22740,CV-797050-25/RI,3,3,3,3,0,0,
case_22741,CV-797065-25/RI,8,8,8,8,0,0,
case_22742,CV-797067-25/RI,8,8,8,8,0,0,
case_23085,850224/2016,49,49,48,48,48,48,
case_23131,850245/2013,55,55,54,54,54,54,
case_23132,850245/2018,47,47,45,45,45,45,
case_23133,850245/2023,15,15,14,14,14,14,
case_23536,LT-308247-24/KI,10,10,10,10,0,0,
case_23537,LT-326266-26/BX,10,10,10,10,0,0,
case_23574,LT-301736-20/QU,8,8,8,8,0,0,
case_23575,LT-341013-25/BX,9,9,9,9,0,0,
case_23602,903652-20,435,435,433,433,435,435,
case_23664,262753/2010,4,4,4,4,3,3,
case_23716,LT-000913-22/KI,18,18,18,18,9,9,
case_23717,LT-072364-19/NY,37,37,37,37,36,36,
case_23718,LT-300365-26/HA,6,6,6,6,1,1,
case_23719,LT-300366-26/HA,6,6,6,6,0,0,
case_23720,LT-302886-22/NY,3,3,3,3,0,0,
case_23721,LT-303720-26/NY,7,7,7,7,0,0,
case_23722,LT-304706-22/NY,14,14,14,14,0,0,
case_23723,LT-304813-26/NY,13,13,13,13,0,0,
case_23724,LT-306740-23/NY,6,6,6,6,0,0,
case_23725,LT-306753-21/NY,24,24,24,24,0,0,
case_23726,LT-307210-21/NY,43,43,43,43,0,0,
case_23727,LT-309159-24/KI,5,5,5,5,0,0,
case_23728,LT-311864-23/NY,6,6,6,6,0,0,
case_23729,LT-313024-23/KI,9,9,9,9,0,0,
case_23730,LT-313062-23/NY,7,7,7,7,0,0,
case_23731,LT-318353-23/NY,5,5,5,5,0,0,
case_23732,LT-319386-23/NY,13,13,13,13,0,0,
case_23733,LT-320220-25/NY,9,9,9,9,0,0,
case_23734,LT-321819-24/NY,5,5,5,5,0,0,
case_23735,LT-329150-22/KI,28,28,28,28,0,0,
case_23758,CV-713747-26/RI,7,7,7,7,0,0,
case_23759,CV-713748-26/RI,4,4,4,4,0,0,
case_23761,CV-713750-26/RI,4,4,4,4,0,0,
case_23762,CV-713751-26/RI,7,7,7,7,1,1,
case_23763,CV-713752-26/RI,8,8,8,8,0,0,
case_23764,CV-713753-26/RI,2,2,2,2,0,0,
case_23765,CV-713754-26/RI,4,4,4,4,0,0,
case_23766,CV-713755-26/RI,4,4,4,4,0,0,
case_23767,CV-713756-26/RI,5,5,5,5,0,0,
case_23768,CV-713757-26/RI,7,7,7,7,0,0,
case_23769,CV-713758-26/RI,4,4,4,4,0,0,
case_23770,CV-713759-26/RI,5,5,5,5,0,0,
case_23771,CV-713760-26/RI,3,3,3,3,0,0,
case_23772,CV-713761-26/RI,4,4,4,4,0,0,
case_23773,CV-713762-26/RI,3,3,3,3,0,0,
case_23774,CV-713763-26/RI,4,4,4,4,0,0,
case_23775,CV-718200-26/KI,2,2,2,2,0,0,
